uf,nome,sim,sim%,nao,nao%,total,latitude,longitude
AM,Beruri (AM),3573.0,0.8611713665943601,576.0,0.13882863340563992,4149.0,-3.89874,-61.3616
AM,Boa Vista do Ramos (AM),4105.0,0.9739027283511269,110.0,0.02609727164887307,4215.0,-2.9740900000000003,-57.5873
AM,Boca do Acre (AM),7721.0,0.8847255643405523,1006.0,0.11527443565944769,8727.0,-8.74232,-67.3919
AM,Borba (AM),9401.0,0.9148501362397821,875.0,0.08514986376021798,10276.0,-4.39154,-59.5874
AM,Caapiranga (AM),2966.0,0.9286161552911709,228.0,0.07138384470882905,3194.0,-3.31537,-61.2206
AM,Canutama (AM),3134.0,0.8586301369863014,516.0,0.14136986301369864,3650.0,-6.52582,-64.3953
AM,Carauari (AM),6598.0,0.8934326337169939,787.0,0.10656736628300609,7385.0,-4.88161,-66.9086
AM,Careiro (AM),8542.0,0.958375406709301,371.0,0.04162459329069898,8913.0,-3.76803,-60.369
AM,Careiro da Várzea (AM),6056.0,0.9466937627012663,341.0,0.05330623729873378,6397.0,-3.314,-59.5557
AM,Coari (AM),22818.0,0.928089156430489,1768.0,0.07191084356951111,24586.0,-4.094119999999998,-63.1441
AM,Codajás (AM),6514.0,0.9207067137809187,561.0,0.07929328621908127,7075.0,-3.83053,-62.0658
AM,Eirunepé (AM),7854.0,0.8656453212829274,1219.0,0.13435467871707263,9073.0,-6.65677,-69.8662
AM,Envira (AM),3897.0,0.797911547911548,987.0,0.20208845208845208,4884.0,-7.437889999999999,-70.0281
AM,Fonte Boa (AM),5822.0,0.8554216867469879,984.0,0.14457831325301204,6806.0,-2.52342,-66.0942
AM,Guajará (AM),3394.0,0.8229873908826382,730.0,0.17701260911736177,4124.0,-7.53797,-72.5907
AM,Humaitá (AM),12566.0,0.9385316304429009,823.0,0.06146836955709911,13389.0,-7.511710000000001,-63.0327
AM,Ipixuna (AM),4517.0,0.7474764189971869,1526.0,0.2525235810028132,6043.0,-7.047910000000001,-71.6934
AM,Iranduba (AM),10730.0,0.9612972585558144,432.0,0.03870274144418563,11162.0,-3.2747900000000003,-60.19
AM,Itacoatiara (AM),23374.0,0.9710843373493976,696.0,0.02891566265060241,24070.0,-3.13861,-58.4449
AM,Itamarati (AM),1749.0,0.7361111111111112,627.0,0.2638888888888889,2376.0,-6.43852,-68.2437
AM,Itapiranga (AM),2289.0,0.9853637537666811,34.0,0.014636246233318984,2323.0,-2.74081,-58.0293
AM,Japurá (AM),1771.0,0.790625,469.0,0.209375,2240.0,-1.88237,-66.9291
AM,Juruá (AM),2610.0,0.8163903659680951,587.0,0.18360963403190492,3197.0,-3.4843800000000003,-66.0718
AM,Jutaí (AM),4100.0,0.8254479565129857,867.0,0.1745520434870143,4967.0,-2.75814,-66.7595
AM,Lábrea (AM),9484.0,0.8568847126852186,1584.0,0.14311528731478135,11068.0,-7.2641300000000015,-64.7948
AM,Manacapuru (AM),23565.0,0.9624259750867878,920.0,0.03757402491321217,24485.0,-3.29066,-60.6216
AM,Manaquiri (AM),6011.0,0.9523130544993663,301.0,0.047686945500633716,6312.0,-3.44078,-60.4612
AM,Manaus (AM),534576.0,0.9874649495162202,6786.0,0.0125350504837798,541362.0,-3.11866,-60.0212
AM,Manicoré (AM),12750.0,0.9232440260680667,1060.0,0.07675597393193338,13810.0,-5.80462,-61.2895
AM,Maraã (AM),4718.0,0.874189364461738,679.0,0.125810635538262,5397.0,-1.85313,-65.57300000000001
AM,Maués (AM),13865.0,0.9646559521324706,508.0,0.03534404786752939,14373.0,-3.39289,-57.7067
AM,Nhamundá (AM),5049.0,0.9813411078717201,96.0,0.018658892128279883,5145.0,-2.20793,-56.7112
AM,Nova Olinda do Norte (AM),8856.0,0.9621903520208605,348.0,0.03780964797913951,9204.0,-3.90037,-59.094
AM,Novo Airão (AM),3956.0,0.9153169828782971,366.0,0.08468301712170291,4322.0,-2.63637,-60.9434
AM,Novo Aripuanã (AM),5715.0,0.9095973261180964,568.0,0.09040267388190355,6283.0,-5.12593,-60.3732
AM,Parintins (AM),28228.0,0.9766798145457062,674.0,0.02332018545429382,28902.0,-2.63741,-56.729
AM,Pauini (AM),4362.0,0.8009548292324642,1084.0,0.1990451707675358,5446.0,-7.71311,-66.992
AM,Presidente Figueiredo (AM),7307.0,0.9775250836120402,168.0,0.022474916387959867,7475.0,-2.02981,-60.0234
AM,Rio Preto da Eva (AM),7355.0,0.9538321877836856,356.0,0.04616781221631436,7711.0,-2.7045,-59.6858
AM,Santa Isabel do Rio Negro (AM),3193.0,0.6575370675453048,1663.0,0.3424629324546952,4856.0,-0.410824,-65.0092
AM,Santo Antônio do Içá (AM),6364.0,0.8988700564971751,716.0,0.10112994350282486,7080.0,-3.09544,-67.9463
AM,São Gabriel da Cachoeira (AM),9798.0,0.9405779015071518,619.0,0.05942209849284823,10417.0,-0.11909000000000003,-67.084
AM,São Paulo de Olivença (AM),8016.0,0.8888888888888888,1002.0,0.1111111111111111,9018.0,-3.47292,-68.9646
AM,São Sebastião do Uatumã (AM),2971.0,0.9608667529107374,121.0,0.039133247089262614,3092.0,-2.55915,-57.8731
AM,Silves (AM),2174.0,1.0,0.0,0.0,2174.0,-2.81748,-58.24800000000001
AM,Tabatinga (AM),14646.0,0.9487594739910604,791.0,0.05124052600893956,15437.0,-4.2416,-69.9383
AM,Tapauá (AM),4888.0,0.8325668540282746,983.0,0.16743314597172543,5871.0,-5.62085,-63.1808
AM,Tefé (AM),17225.0,0.951131971286582,885.0,0.048868028713418,18110.0,-3.3682199999999995,-64.7193
AM,Tonantins (AM),4547.0,0.8963138182534989,526.0,0.10368618174650109,5073.0,-2.8658200000000003,-67.7919
AM,Uarini (AM),3219.0,0.9464863275507204,182.0,0.053513672449279626,3401.0,-2.99609,-65.1133
AM,Urucará (AM),4393.0,0.9797056199821588,91.0,0.020294380017841212,4484.0,-2.52936,-57.7538
AM,Urucurituba (AM),5082.0,0.9656089682690481,181.0,0.034391031730951926,5263.0,-3.12841,-58.1496
PA,Abaetetuba (PA),43148.0,0.9634260706470772,1638.0,0.036573929352922786,44786.0,-1.72183,-48.8788
PA,Abel Figueiredo (PA),1860.0,0.9518935516888434,94.0,0.048106448311156604,1954.0,-4.95333,-48.3933
PA,Acará (PA),14137.0,0.8993574654876264,1582.0,0.10064253451237357,15719.0,-1.95383,-48.1985
PA,Afuá (PA),8695.0,0.8506995401624107,1526.0,0.14930045983758927,10221.0,-0.154874,-50.3861
PA,Água Azul do Norte (PA),7494.0,0.9547713084469359,355.0,0.04522869155306408,7849.0,-6.79053,-50.4791
PA,Alenquer (PA),13118.0,0.9389449574117815,853.0,0.06105504258821845,13971.0,-1.94623,-54.7384
PA,Almeirim (PA),9101.0,0.9423276040588113,557.0,0.05767239594118865,9658.0,-1.52904,-52.5788
PA,Altamira (PA),28247.0,0.9536783821195854,1372.0,0.0463216178804146,29619.0,-3.20407,-52.21
PA,Anajás (PA),5935.0,0.83006993006993,1215.0,0.16993006993006993,7150.0,-0.996811,-49.9354
PA,Ananindeua (PA),138666.0,0.9879169575811116,1696.0,0.012083042418888303,140362.0,-1.36391,-48.3743
PA,Anapu (PA),5680.0,0.9329829172141918,408.0,0.06701708278580815,6088.0,-3.46985,-51.2003
PA,Augusto Corrêa (PA),10471.0,0.8954164528818197,1223.0,0.10458354711818027,11694.0,-1.05109,-46.6147
PA,Aurora do Pará (PA),7225.0,0.9068658215137442,742.0,0.09313417848625581,7967.0,-2.14898,-47.5677
PA,Aveiro (PA),3996.0,0.9684924866698982,130.0,0.031507513330101794,4126.0,-3.60841,-55.3199
PA,Bagre (PA),6157.0,0.8626874036710103,980.0,0.13731259632898976,7137.0,-1.90057,-50.1987
PA,Baião (PA),10463.0,0.9410018886590521,656.0,0.05899811134094793,11119.0,-2.79021,-49.6694
PA,Bannach (PA),859.0,0.9470782800441014,48.0,0.05292171995589857,907.0,-7.34779,-50.3959
PA,Barcarena (PA),30320.0,0.9818334898481267,561.0,0.01816651015187332,30881.0,-1.51187,-48.6195
PA,Belém (PA),393733.0,0.9871433908053181,5128.0,0.012856609194681857,398861.0,-1.4554,-48.4898
PA,Belterra (PA),4050.0,0.974025974025974,108.0,0.025974025974025976,4158.0,-2.6360900000000003,-54.9374
PA,Benevides (PA),15241.0,0.9829732344405031,264.0,0.017026765559496938,15505.0,-1.36183,-48.2434
PA,Bom Jesus do Tocantins (PA),4107.0,0.9285552792222473,316.0,0.07144472077775266,4423.0,-5.0424,-48.6047
PA,Bonito (PA),3774.0,0.896011396011396,438.0,0.10398860398860399,4212.0,-1.36745,-47.3066
PA,Bragança (PA),32582.0,0.9511048836734098,1675.0,0.04889511632659019,34257.0,-1.06126,-46.7826
PA,Brasil Novo (PA),4110.0,0.9400731930466606,262.0,0.059926806953339434,4372.0,-3.2979199999999995,-52.534
PA,Brejo Grande do Araguaia (PA),2009.0,0.9494328922495274,107.0,0.05056710775047259,2116.0,-5.69822,-48.4103
PA,Breu Branco (PA),14584.0,0.932719365566641,1052.0,0.06728063443335891,15636.0,-3.77191,-49.5735
PA,Breves (PA),23603.0,0.8882992736441986,2968.0,0.11170072635580144,26571.0,-1.68036,-50.4791
PA,Bujaru (PA),6894.0,0.9482806052269601,376.0,0.05171939477303989,7270.0,-1.51762,-48.0381
PA,Cachoeira do Piriá (PA),6335.0,0.8372984403912239,1231.0,0.1627015596087761,7566.0,-1.75974,-46.5459
PA,Cachoeira do Arari (PA),5530.0,0.9186046511627907,490.0,0.08139534883720931,6020.0,-1.01226,-48.9503
PA,Cametá (PA),35500.0,0.9706879580006562,1072.0,0.02931204199934376,36572.0,-2.24295,-49.4979
PA,Canaã dos Carajás (PA),8122.0,0.9789080390502591,175.0,0.02109196094974087,8297.0,-6.49659,-49.8776
PA,Capanema (PA),17703.0,0.9590963267959692,755.0,0.04090367320403077,18458.0,-1.20529,-47.1778
PA,Capitão Poço (PA),14154.0,0.9179583630585642,1265.0,0.08204163694143589,15419.0,-1.74785,-47.0629
PA,Castanhal (PA),52160.0,0.978042789372035,1171.0,0.021957210627964973,53331.0,-1.29797,-47.9167
PA,Chaves (PA),4674.0,0.7976109215017065,1186.0,0.20238907849829352,5860.0,-0.164154,-49.987
PA,Colares (PA),3073.0,0.9549409571162213,145.0,0.045059042883778745,3218.0,-0.936423,-48.2803
PA,Conceição do Araguaia (PA),11551.0,0.9607419113366048,472.0,0.03925808866339516,12023.0,-8.26136,-49.2689
PA,Concórdia do Pará (PA),8332.0,0.9513587577072391,426.0,0.04864124229276091,8758.0,-1.99238,-47.9422
PA,Cumaru do Norte (PA),2325.0,0.840867992766727,440.0,0.15913200723327306,2765.0,-7.810969999999998,-50.7698
PA,Curionópolis (PA),4921.0,0.963013698630137,189.0,0.036986301369863014,5110.0,-6.09965,-49.6068
PA,Curralinho (PA),7437.0,0.8878939828080229,939.0,0.11210601719197708,8376.0,-1.81179,-49.7952
PA,Curuá (PA),3307.0,0.9577179264407761,146.0,0.042282073559223865,3453.0,-1.88775,-55.1168
PA,Curuçá (PA),9227.0,0.973723089911355,249.0,0.026276910088644998,9476.0,-0.733214,-47.8515
PA,Dom Eliseu (PA),14757.0,0.9404754317761774,934.0,0.05952456822382257,15691.0,-4.19944,-47.8245
PA,Eldorado do Carajás (PA),8402.0,0.9306601683650864,626.0,0.0693398316349136,9028.0,-6.10389,-49.3553
PA,Faro (PA),2262.0,0.9800693240901213,46.0,0.01993067590987868,2308.0,-2.16805,-56.7405
PA,Floresta do Araguaia (PA),4759.0,0.9531343881434008,234.0,0.04686561185659924,4993.0,-7.55335,-49.7125
PA,Garrafão do Norte (PA),6261.0,0.8382648279555496,1208.0,0.1617351720444504,7469.0,-1.92986,-47.0505
PA,Goianésia do Pará (PA),8580.0,0.9142248268513585,805.0,0.08577517314864144,9385.0,-3.84338,-49.0974
PA,Gurupá (PA),7640.0,0.9053205356084845,799.0,0.09467946439151559,8439.0,-1.41412,-51.6338
PA,Igarapé-Açu (PA),10121.0,0.9414883720930233,629.0,0.05851162790697675,10750.0,-1.12539,-47.62600000000001
PA,Igarapé-Miri (PA),16418.0,0.9178733158159558,1469.0,0.08212668418404427,17887.0,-1.97533,-48.9575
PA,Inhangapi (PA),2877.0,0.9631737529293606,110.0,0.03682624707063944,2987.0,-1.4349,-47.9114
